,name,price,category,image_link
60,'Earthen Turquoise' Hand Glazed Chip-N-Dip Serving Platter In Ceramic (Microwave Safe),949,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/44_400x.png
61,"'Moroccan Platter Pair' Hand-Painted Plates In Ceramic (10 Inch, Set Of 2)",949,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-505_a_400x.jpg
62,"'Moroccan Plate Pair' Handpainted Plates In Ceramic (10 Inch, Set Of 2)",975,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-397_a_400x.jpg
63,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Dining Plates (10 Inch, Set of 2)",1299,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-545_a_400x.jpg
64,"'Earthen Turquoise' Hand Glazed Side/Quarter Plates In Ceramic (Set of 6, Microwave Safe)",1899,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/41_400x.png
65,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Quarter Plates (7 Inch, Set of 6)",2099,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-547_a_400x.jpg
66,"'Amber & Teal' Hand Glazed Studio Pottery Dinner Plates In Ceramic (Set of 6, Microwave Safe)",2999,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/2_400x.png
67,'Moroccan Platter Pack' Handpainted Plate With Serving Bowl Set Of 2 In Ceramic,925,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-395_a_400x.jpg
68,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Dining Plates (10 Inch, Set of 6)",3299,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-544_a_400x.jpg
69,"'Indigo Chevron' Hand-painted Ceramic Dinner Plates (Set of 2, Microwave Safe)",1149,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-870_A_400x.jpg
70,"'Earthen Turquoise' Hand Glazed Dinner Plates In Ceramic (Set of 6, Microwave Safe)",2999,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/43_400x.png
71,"'Crimson Frisbee' Hand Glazed Studio Pottery Ceramic Quarter Plates (7 Inch, Set of 2)",786,plates-platters,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-546_a_400x.jpg
72,Ceramic Gas Stove Brewing Aroma Diffuser (Studio Pottery),1335,aroma-diffusers,cdn.shopify.com/s/files/1/0030/9759/1872/products/48_400x.png
73,Ceramic Oil Burner In White,899,aroma-diffusers,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-008-024_a_400x.jpg
74,Terracotta Handpainted Aroma Diffusor In Red,749,aroma-diffusers,cdn.shopify.com/s/files/1/0030/9759/1872/products/el-008-002_a_3_400x.jpg
75,Ceramic Breezy Star Aroma Diffuser (Studio Pottery),825,aroma-diffusers,cdn.shopify.com/s/files/1/0030/9759/1872/products/60_22b0e0a9-8201-472d-af0d-f47e66ea95a9_400x.png
