,name,price,category,image_link
27,'Amber & Teal' Studio Pottery Tea & Coffee Mugs  In Ceramic (Set Of 2),799,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/7_400x.png?v=1610966238
28,"'Whispers of Warli' Handcrafted Ceramic Tea & Coffee Mugs (Set of 2, 300 ML, Microwave Safe)",599,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/WhispersofWarli_HandcraftedCeramicTea_CoffeeMugs_Setof2_300ML_MicrowaveSafe__A_400x.jpg?v=1634550170
29,'Crimson Caldera' Hand Glazed Studio Pottery Ceramic Coffee & Tea Mugs (Set Of 2),699,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-519_a_400x.jpg?v=1570515981
30,"'Moroccan Turqouise' Hand Glazed & Embossed Coffee Mugs In Ceramic (Set Of 2, 300 ML, Microwave Safe)",599,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/MoroccanTurqouise_HandGlazed_EmbossedCoffeeMugsInCeramic_SetOf2_300ML_MicrowaveSafe__A_400x.jpg?v=1634811881
31,Tea-Coffee & Milk Mugs Dual-Glazed Studio Pottery In Ceramic (Set Of 2),599,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-408_a_400x.jpg?v=1570516148
32,"'Earthen Turquoise' Hand Glazed Tea & Coffee Mugs In Ceramic (Set of 2, 360 ML, Microwave Safe)",699,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/LuxuryCollectionProductImages_400x.png?v=1610968868
33,'Amber & Teal' Studio Pottery Mugs In Ceramic (Set Of 2),725,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/9_400x.png?v=1610966328
34,'Amber & Teal' Studio Pottery Mugs in Ceramic (Set Of 2),699,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/8_400x.png?v=1610966241
35,"""Mughal Rims"" Floral Hand-painted Tea & Coffee Mugs In Ceramic (Set of 2)",649,coffee-mugs,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-005-666_A_400x.jpg?v=1577790847
36,14 Inch Pyramid Lamp In Sheesham Wood,"1,219",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-061-_a_400x.jpg?v=1570516466
37,20 Inch Dhokra And Warli Handpainted Wooden Lamp Brown,"3,562",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-038_a_3_400x.jpg?v=1570516474
