,name,price,review
118,Madhubani Handpainted Terracotta Vase Set In Bright Orange,1899,0
119,Terracotta Handpainted Warli Vase Matki Red 6 Inch,699,0
120,"""Coloured Fish"" Handmade &amp; Hand-Painted Garden Decorative Wall Hanging In Terracotta",989,13
121,Gayatri Mantra Terracotta Wall Hanging,840,2
122,8 Terracotta Warli Handpainted Pots With Sheesham Wooden Frame Wall Hanging,2870,3
123,9 Terracotta Warli Handpainted Pots With Sheesham Wooden Frame Wall Hanging,2899,1
124,3 Terracotta Warli Handpainted Pots With Sheesham Wooden Hut Frame Wall Hanging,1399,4
125,"""Rooster &amp; Chicks"" Handmade &amp; Hand-Painted Garden Decorative Wall Hanging In Terracotta",899,4
126,'Kathakali Maquillage' Hand Carved Block Wall Décor In Sheesham Wood,1406,2
127,"""Flapping Birdies"" Handmade &amp; Hand-painted Garden Decorative Wall Hanging In Terracotta (Set of 2)",1125,1
128,"""Flowery Owl"" Handmade &amp; Hand-painted Garden Decorative Wall Hanging Bell In Terracotta",749,0
129,Dhokra Work And Warli Handpainted Horizontal Wall Décor,2099,0
130,Gayatri Mantra Terracotta Wall Hanging,849,0
131,"""Chirping Songbird"" Handmade &amp; Hand-Painted Garden Decorative Wall Hanging In Terracotta",899,2
132,Wooden Wall Shelves With Handpainted Terracotta Pots,3115,0
133,Natural Wooden Log Wall Décor Set,2999,0
134,"""Feathered Birdies"" Handmade &amp; Hand-painted Garden Decorative Wall Hanging In Terracotta (Set of 2)",1199,0
135,"""White-Haired Horse"" Handmade &amp; Hand-Painted Garden Decorative Wall Hanging In Terracotta",799,2
136,Dhokra Work And Warli Handpainted Vertical Wall Décor,2098,0
137,"""Owl Family"" Handmade &amp; Hand-Painted Garden Decorative Wall Hanging In Terracotta",899,1
138,"""Mughal Roots"" Floral Hand-painted Ceramic Planter Pots (Set of 2)",799,1
139,'Planting Moo' Handmade &amp; Hand-painted Planter Pot In Terracotta (6 Inch),649,1
140,"'Mud Blossom Pair' Handmade &amp; Hand-painted Planter Pots In Terracotta (4 Inch, Set of 2)",1075,1
141,'Mud Blossoms' Handmade &amp; Hand-painted Planter Pot In Terracotta (4 Inch),649,0
